interface_id,from_component,to_component,connection_type,fixed_or_moving,custom_or_standard,mounting_method,uses_original_slider,notes
left_y_slider_to_base_plate,left_y_axis_module original slider/carriage,left_y_slider_top_base_plate,direct slider top binding,moving_interface,custom_adapter_to_standard_slider,base plate with four bolt markers and dowel markers,yes,Left binding starts on the original Y slider/carriage top.
left_base_plate_to_cheek_plates,left_y_slider_top_base_plate,left_front/rear_vertical_cheek_plate,paired open cheek plates,moving_gantry,custom_adapter,front/rear bolted cheek plates,yes,Left load path rises through two open side plates.
left_cheek_plates_to_x_beam_saddle,left_front/rear_vertical_cheek_plate,left_x_beam_end_saddle,saddle support,moving_gantry,custom_adapter,cheek plates tied into saddle with small gussets,yes,Left X beam end is supported by the Y slider assembly.
left_x_beam_saddle_to_x_axis_module,left_x_beam_end_saddle,x_axis_module_on_gantry,X module end support,moving_gantry,custom_adapter_to_standard_axis,saddle below original X module end,yes,Left saddle supports the original X module end.
right_y_slider_to_base_plate,right_y_axis_module original slider/carriage,right_y_slider_top_base_plate,direct slider top binding,moving_interface,custom_adapter_to_standard_slider,base plate with four bolt markers and dowel markers,yes,Right binding starts on the original Y slider/carriage top.
right_base_plate_to_cheek_plates,right_y_slider_top_base_plate,right_front/rear_vertical_cheek_plate,paired open cheek plates,moving_gantry,custom_adapter,front/rear bolted cheek plates,yes,Right load path rises through two open side plates.
right_cheek_plates_to_x_beam_saddle,right_front/rear_vertical_cheek_plate,right_x_beam_end_saddle,saddle support,moving_gantry,custom_adapter,cheek plates tied into saddle with small gussets,yes,Right X beam end is supported by the Y slider assembly.
right_x_beam_saddle_to_x_axis_module,right_x_beam_end_saddle,x_axis_module_on_gantry,X module end support,moving_gantry,custom_adapter_to_standard_axis,saddle below original X module end,yes,Right saddle supports the original X module end.
x_axis_slider_to_z_axis_adapter,x_axis_module original slider/carriage,inherited Z-axis adapter / gripper module,X slider to Z adapter,moving_interface,existing_adapter_to_standard_slider,inherited v7.3e/v7.3f adapter geometry,yes,Z axis remains bound to original X slider; no new needle or tall block is added.
z_axis_adapter_to_gripper_module,Z-axis adapter area,EndEffectorGripperModuleV1,tool mount,moving_tool,custom_adapter_reference,existing v7.3e gripper adapter,yes,Gripper module is preserved without modification.
cable_chain_to_x_carriage_short_bundle,moving_flexible_hose_bundle,X/Z carriage strain relief,cable clearance reference,moving_clearance,existing_cable_management,preserve accepted v1.2 hose route,yes,Cable chain/hose is retained and not rerouted.
x_gantry_motion_reference,left/right compact carriage binding assemblies,X gantry assembly,motion reference,moving_gantry,layout_reference,two-slider gantry support,yes,Both original Y sliders carry the X gantry through physical binding assemblies.
tube_clearance_reference,X gantry assembly,tube rack / tube top envelope,clearance reference,motion_clearance,layout_reference,CSV-level clearance check,yes,Boxes stay fixed; no external motor over tube area remains.
