side,check_item,expected,observed,status,notes
left,adapter_bottom_on_slider_mounting_datum,adapter bottom z equals slider top mounting datum,bottom face z=98.600 mm on calibrated slider top datum,PASS,Binding plate bottom sits on the explicit slider datum.
left,adapter_not_on_rail_body,adapter bottom z must not equal rail body top z,"adapter bottom z=98.600 mm, rail body top z=72.600 mm",PASS,26 mm vertical separation prevents rail body from acting as the mounting datum.
left,adapter_not_intruding_rail_running_zone,no generated binding geometry below slider top mounting datum,lowest binding plate z=98.600 mm; rail running/groove zone remains below slider top,PASS,Only reference datum overlaps the rail module; binding assembly does not descend into the rail guide zone.
left,rail_body_not_used_as_support,rail body is reference only,amber rail body reference marked not_mounting_datum; adapter mounts to blue/cyan slider datum,PASS,Fixed rail body is not part of the load path.
left,slider_carriage_used_as_support,moving slider/carriage carries binding plate,blue/cyan original Y slider mounting datum supports each top binding plate,WARNING,"This is a calibrated visual/mechanical datum from the STEP visual bbox, not supplier-certified hole data."
left,x_beam_supported_by_slider,X beam end saddle load path starts at slider datum,slider datum -> binding plate -> short side webs -> compact X beam saddle,PASS,Both sides have a visible continuous support path.
left,no_connection_to_enclosure_frame,enclosure guard must not carry load,new v1.6 parts are localized at Y sliders and X beam ends,PASS,No generated v1.6 part touches the enclosure frame intentionally.
left,no_new_motor,no generated motor or motor-like block,no motor components generated by v1.6,PASS,Fastener markers are small cylinders only.
left,no_new_rail,no auxiliary rail generated,no rail-like generated support except amber rail reference datum,PASS,The amber rail body object is labeled reference_not_mounting_datum.
left,tube_clearance_not_obviously_blocked,no low large plate sweeping across tube racks,binding assembly remains at outboard gantry ends and above tube top envelope,PASS,No broad low adapter plate crosses the tube zone.
right,adapter_bottom_on_slider_mounting_datum,adapter bottom z equals slider top mounting datum,bottom face z=98.600 mm on calibrated slider top datum,PASS,Binding plate bottom sits on the explicit slider datum.
right,adapter_not_on_rail_body,adapter bottom z must not equal rail body top z,"adapter bottom z=98.600 mm, rail body top z=72.600 mm",PASS,26 mm vertical separation prevents rail body from acting as the mounting datum.
right,adapter_not_intruding_rail_running_zone,no generated binding geometry below slider top mounting datum,lowest binding plate z=98.600 mm; rail running/groove zone remains below slider top,PASS,Only reference datum overlaps the rail module; binding assembly does not descend into the rail guide zone.
right,rail_body_not_used_as_support,rail body is reference only,amber rail body reference marked not_mounting_datum; adapter mounts to blue/cyan slider datum,PASS,Fixed rail body is not part of the load path.
right,slider_carriage_used_as_support,moving slider/carriage carries binding plate,blue/cyan original Y slider mounting datum supports each top binding plate,WARNING,"This is a calibrated visual/mechanical datum from the STEP visual bbox, not supplier-certified hole data."
right,x_beam_supported_by_slider,X beam end saddle load path starts at slider datum,slider datum -> binding plate -> short side webs -> compact X beam saddle,PASS,Both sides have a visible continuous support path.
right,no_connection_to_enclosure_frame,enclosure guard must not carry load,new v1.6 parts are localized at Y sliders and X beam ends,PASS,No generated v1.6 part touches the enclosure frame intentionally.
right,no_new_motor,no generated motor or motor-like block,no motor components generated by v1.6,PASS,Fastener markers are small cylinders only.
right,no_new_rail,no auxiliary rail generated,no rail-like generated support except amber rail reference datum,PASS,The amber rail body object is labeled reference_not_mounting_datum.
right,tube_clearance_not_obviously_blocked,no low large plate sweeping across tube racks,binding assembly remains at outboard gantry ends and above tube top envelope,PASS,No broad low adapter plate crosses the tube zone.
