interface_id,from_component,to_component,connection_type,fixed_or_moving,custom_or_standard,mounting_method,uses_original_slider,notes
left_carriage_reference_to_top_adapter_plate,left_original_y_slider_carriage_reference_v1_5 top mounting face,left_y_slider_top_adapter_plate,direct carriage top binding,moving_interface,custom_adapter_to_standard_slider,low top adapter plate with four bolt markers and dowel markers,yes,"Left binding starts on the original Y slider/carriage reference, not the rail body."
left_top_adapter_to_compact_shim,left_y_slider_top_adapter_plate,left_compact_riser_shim,low shim,moving_gantry,custom_adapter,6 mm compact shim,yes,Left shim is compact and sits above the top plate.
left_shim_to_short_side_webs,left_compact_riser_shim,left_front/rear_short_side_web,short web support,moving_gantry,custom_adapter,short side webs over slider footprint,yes,Left webs avoid the Y rail running zone.
left_webs_to_x_beam_end_mount,left_front/rear_short_side_web + left_upper_transfer_lug,left_compact_x_beam_end_mount,compact X end support,moving_gantry,custom_adapter_to_standard_axis,upper lug to compact X end mount,yes,Left X beam end is supported without a large side-insert plate.
right_carriage_reference_to_top_adapter_plate,right_original_y_slider_carriage_reference_v1_5 top mounting face,right_y_slider_top_adapter_plate,direct carriage top binding,moving_interface,custom_adapter_to_standard_slider,low top adapter plate with four bolt markers and dowel markers,yes,"Right binding starts on the original Y slider/carriage reference, not the rail body."
right_top_adapter_to_compact_shim,right_y_slider_top_adapter_plate,right_compact_riser_shim,low shim,moving_gantry,custom_adapter,6 mm compact shim,yes,Right shim is compact and sits above the top plate.
right_shim_to_short_side_webs,right_compact_riser_shim,right_front/rear_short_side_web,short web support,moving_gantry,custom_adapter,short side webs over slider footprint,yes,Right webs avoid the Y rail running zone.
right_webs_to_x_beam_end_mount,right_front/rear_short_side_web + right_upper_transfer_lug,right_compact_x_beam_end_mount,compact X end support,moving_gantry,custom_adapter_to_standard_axis,upper lug to compact X end mount,yes,Right X beam end is supported without a large side-insert plate.
x_axis_slider_to_z_axis_adapter,x_axis_module original slider/carriage,inherited Z-axis adapter / gripper module,X slider to Z adapter,moving_interface,existing_adapter_to_standard_slider,inherited v7.3e/v7.3f adapter geometry,yes,Z axis remains bound to original X slider; no new needle or tall block is added.
z_axis_adapter_to_gripper_module,Z-axis adapter area,EndEffectorGripperModuleV1,tool mount,moving_tool,custom_adapter_reference,existing v7.3e gripper adapter,yes,Gripper module is preserved without modification.
cable_chain_to_x_carriage_short_bundle,moving_flexible_hose_bundle,X/Z carriage strain relief,cable clearance reference,moving_clearance,existing_cable_management,preserve accepted v1.2 hose route,yes,Cable chain/hose is retained and not rerouted.
x_gantry_motion_reference,left/right corrected slider binding assemblies,X gantry assembly,motion reference,moving_gantry,layout_reference,two-slider gantry support,yes,Both original Y sliders carry the X gantry through corrected top-mounted binding assemblies.
tube_clearance_reference,X gantry assembly,tube rack / tube top envelope,clearance reference,motion_clearance,layout_reference,CSV-level clearance check,yes,Boxes stay fixed; no external motor over tube area remains.
