run_id,zone,box_id,category,slot_id,occupied_by_sample_id,filled_count,capacity,box_status,notes
baseline_multi_box_run,output_A,category_A_output_box,Category A,A1,MBOX-001,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,A2,MBOX-006,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,A3,MBOX-010,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,A4,MBOX-014,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,A5,MBOX-018,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,A6,MBOX-023,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,B1,MBOX-027,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,B2,MBOX-031,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,B3,MBOX-035,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,B4,MBOX-040,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,B5,MBOX-044,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,B6,MBOX-048,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,C1,MBOX-052,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,C2,MBOX-056,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,C3,MBOX-061,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,C4,MBOX-065,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,C5,MBOX-069,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,C6,MBOX-074,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,D1,MBOX-078,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,D2,MBOX-082,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,D3,MBOX-086,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,D4,MBOX-090,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,D5,MBOX-095,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_A,category_A_output_box,Category A,D6,,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,A1,MBOX-002,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,A2,MBOX-007,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,A3,MBOX-011,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,A4,MBOX-015,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,A5,MBOX-020,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,A6,MBOX-024,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,B1,MBOX-028,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,B2,MBOX-032,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,B3,MBOX-036,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,B4,MBOX-041,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,B5,MBOX-045,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,B6,MBOX-049,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,C1,MBOX-053,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,C2,MBOX-057,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,C3,MBOX-062,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,C4,MBOX-066,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,C5,MBOX-070,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,C6,MBOX-075,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,D1,MBOX-079,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,D2,MBOX-083,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,D3,MBOX-087,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,D4,MBOX-092,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,D5,MBOX-096,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_B,category_B_output_box,Category B,D6,,23,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,A1,MBOX-003,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,A2,MBOX-008,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,A3,MBOX-012,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,A4,MBOX-016,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,A5,MBOX-021,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,A6,MBOX-025,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,B1,MBOX-029,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,B2,MBOX-033,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,B3,MBOX-038,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,B4,MBOX-042,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,B5,MBOX-046,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,B6,MBOX-050,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,C1,MBOX-054,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,C2,MBOX-059,22,24,available,"normal category output; full category causes hold, not manual review"
baseline_multi_box_run,output_C,category_C_output_box,Category C,C3,MBOX-063,22,24,available,"normal category output; full category causes hold, not manual review"
